Date : 2019-11-20 18:03:23
Directory : /Users/dfarinha/Documents/Blockchain final/Blockchain front/blockchain-fe
Total : 141 files,  24913 codes, 2239 comments, 3788 blanks, all 30940 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src/assets/sass/paper-kit/_mixins.scss                              | SCSS       |          8 |          2 |          5 |         15 |
| src/assets/sass/paper-kit/_modal.scss                               | SCSS       |         88 |          1 |          4 |         93 |
| src/assets/sass/paper-kit/_navbars.scss                             | SCSS       |        451 |          5 |         47 |        503 |
| src/assets/sass/paper-kit/_progress-bars.scss                       | SCSS       |         27 |          0 |          1 |         28 |
| src/assets/sass/paper-kit/_responsive.scss                          | SCSS       |        632 |          8 |         53 |        693 |
| src/assets/sass/paper-kit/_sections.scss                            | SCSS       |         89 |          0 |          4 |         93 |
| src/assets/sass/paper-kit/_sliders.scss                             | SCSS       |        140 |          0 |         21 |        161 |
| src/assets/sass/paper-kit/_social-buttons.scss                      | SCSS       |         64 |          0 |          8 |         72 |
| src/assets/sass/paper-kit/_tabs-navs-pagination.scss                | SCSS       |        374 |          5 |         27 |        406 |
| src/assets/sass/paper-kit/_tooltips-and-popovers.scss               | SCSS       |        202 |          5 |         16 |        223 |
| src/assets/sass/paper-kit/_typography.scss                          | SCSS       |        125 |          2 |          8 |        135 |
| src/assets/sass/paper-kit/_variables.scss                           | SCSS       |        219 |          9 |         92 |        320 |
| src/assets/sass/paper-kit/mixins/_buttons.scss                      | SCSS       |         76 |          1 |         14 |         91 |
| src/assets/sass/paper-kit/mixins/_inputs.scss                       | SCSS       |         14 |          0 |          3 |         17 |
| src/assets/sass/paper-kit/mixins/_labels.scss                       | SCSS       |         20 |          0 |          1 |         21 |
| src/assets/sass/paper-kit/mixins/_navbars.scss                      | SCSS       |         10 |          0 |          1 |         11 |
| src/assets/sass/paper-kit/mixins/_popovers.scss                     | SCSS       |         20 |          0 |          2 |         22 |
| src/assets/sass/paper-kit/mixins/_tabs.scss                         | SCSS       |          4 |          0 |          0 |          4 |
| src/assets/sass/paper-kit/mixins/_transparency.scss                 | SCSS       |         16 |          2 |          2 |         20 |
| src/assets/sass/paper-kit/mixins/_vendor-prefixes.scss              | SCSS       |        167 |          3 |         22 |        192 |
| src/assets/sass/paper-kit/plugins/_datetimepicker.scss              | SCSS       |        117 |          0 |          3 |        120 |
| src/environments/environment.prod.ts                                | TypeScript |          3 |          0 |          1 |          4 |
| src/environments/environment.ts                                     | TypeScript |          3 |          4 |          2 |          9 |
| src/index.html                                                      | HTML       |         18 |         11 |          3 |         32 |
| src/main.ts                                                         | TypeScript |          8 |         14 |          4 |         26 |
| src/polyfills.ts                                                    | TypeScript |         17 |         41 |         16 |         74 |
| src/styles.scss                                                     | SCSS       |          0 |          1 |          1 |          2 |
| src/test.ts                                                         | TypeScript |         21 |          7 |          5 |         33 |
| src/tsconfig.app.json                                               | JSON       |         11 |          3 |          0 |         14 |
| src/tsconfig.spec.json                                              | JSON       |         21 |          0 |          1 |         22 |
| src/typings.d.ts                                                    | TypeScript |          4 |          1 |          1 |          6 |
| tsconfig.json                                                       | JSON       |         21 |          0 |          0 |         21 |
| tslint.json                                                         | JSON       |        134 |          0 |          1 |        135 |
| Total                                                               |            |     24,913 |      2,239 |      3,788 |     30,940 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
