filename, language, Markdown, JSON, JavaScript, HTML, TypeScript, SCSS, CSS, comment, blank, total
src/assets/sass/paper-kit/_checkbox-radio.scss, SCSS, 0, 0, 0, 0, 0, 121, 0, 25, 20, 166
src/assets/sass/paper-kit/_collapse.scss, SCSS, 0, 0, 0, 0, 0, 53, 0, 3, 2, 58
src/assets/sass/paper-kit/_dropdown.scss, SCSS, 0, 0, 0, 0, 0, 403, 0, 5, 39, 447
src/assets/sass/paper-kit/_examples.scss, SCSS, 0, 0, 0, 0, 0, 266, 0, 6, 21, 293
src/assets/sass/paper-kit/_footers.scss, SCSS, 0, 0, 0, 0, 0, 207, 0, 1, 22, 230
src/assets/sass/paper-kit/_icons.scss, SCSS, 0, 0, 0, 0, 0, 107, 0, 0, 5, 112
src/assets/sass/paper-kit/_images.scss, SCSS, 0, 0, 0, 0, 0, 65, 0, 0, 2, 67
src/assets/sass/paper-kit/_inputs.scss, SCSS, 0, 0, 0, 0, 0, 166, 0, 0, 18, 184
src/assets/sass/paper-kit/_labels.scss, SCSS, 0, 0, 0, 0, 0, 29, 0, 1, 1, 31
src/assets/sass/paper-kit/_misc.scss, SCSS, 0, 0, 0, 0, 0, 107, 0, 5, 13, 125
src/assets/sass/paper-kit/_mixins.scss, SCSS, 0, 0, 0, 0, 0, 8, 0, 2, 5, 15
src/assets/sass/paper-kit/_modal.scss, SCSS, 0, 0, 0, 0, 0, 88, 0, 1, 4, 93
src/assets/sass/paper-kit/_navbars.scss, SCSS, 0, 0, 0, 0, 0, 451, 0, 5, 47, 503
src/assets/sass/paper-kit/_progress-bars.scss, SCSS, 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
src/assets/sass/paper-kit/_responsive.scss, SCSS, 0, 0, 0, 0, 0, 632, 0, 8, 53, 693
src/assets/sass/paper-kit/_sections.scss, SCSS, 0, 0, 0, 0, 0, 89, 0, 0, 4, 93
src/assets/sass/paper-kit/_sliders.scss, SCSS, 0, 0, 0, 0, 0, 140, 0, 0, 21, 161
src/assets/sass/paper-kit/_social-buttons.scss, SCSS, 0, 0, 0, 0, 0, 64, 0, 0, 8, 72
src/assets/sass/paper-kit/_tabs-navs-pagination.scss, SCSS, 0, 0, 0, 0, 0, 374, 0, 5, 27, 406
src/assets/sass/paper-kit/_tooltips-and-popovers.scss, SCSS, 0, 0, 0, 0, 0, 202, 0, 5, 16, 223
src/assets/sass/paper-kit/_typography.scss, SCSS, 0, 0, 0, 0, 0, 125, 0, 2, 8, 135
src/assets/sass/paper-kit/_variables.scss, SCSS, 0, 0, 0, 0, 0, 219, 0, 9, 92, 320
src/assets/sass/paper-kit/mixins/_buttons.scss, SCSS, 0, 0, 0, 0, 0, 76, 0, 1, 14, 91
src/assets/sass/paper-kit/mixins/_inputs.scss, SCSS, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
src/assets/sass/paper-kit/mixins/_labels.scss, SCSS, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
src/assets/sass/paper-kit/mixins/_navbars.scss, SCSS, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
src/assets/sass/paper-kit/mixins/_popovers.scss, SCSS, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
src/assets/sass/paper-kit/mixins/_tabs.scss, SCSS, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
src/assets/sass/paper-kit/mixins/_transparency.scss, SCSS, 0, 0, 0, 0, 0, 16, 0, 2, 2, 20
src/assets/sass/paper-kit/mixins/_vendor-prefixes.scss, SCSS, 0, 0, 0, 0, 0, 167, 0, 3, 22, 192
src/assets/sass/paper-kit/plugins/_datetimepicker.scss, SCSS, 0, 0, 0, 0, 0, 117, 0, 0, 3, 120
src/environments/environment.prod.ts, TypeScript, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
src/environments/environment.ts, TypeScript, 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
src/index.html, HTML, 0, 0, 0, 18, 0, 0, 0, 11, 3, 32
src/main.ts, TypeScript, 0, 0, 0, 0, 8, 0, 0, 14, 4, 26
src/polyfills.ts, TypeScript, 0, 0, 0, 0, 17, 0, 0, 41, 16, 74
src/styles.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
src/test.ts, TypeScript, 0, 0, 0, 0, 21, 0, 0, 7, 5, 33
src/tsconfig.app.json, JSON, 0, 11, 0, 0, 0, 0, 0, 3, 0, 14
src/tsconfig.spec.json, JSON, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
src/typings.d.ts, TypeScript, 0, 0, 0, 0, 4, 0, 0, 1, 1, 6
tsconfig.json, JSON, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
tslint.json, JSON, 0, 134, 0, 0, 0, 0, 0, 0, 1, 135
Total, -, 221, 395, 6911, 2506, 1348, 5208, 8324, 2239, 3788, 30940
